Source URL,Destination URL,Comments
http://sydney.edu.au/cet/ge.shtml,http://sydney.edu.au/cet/general-english.html,OK
http://sydney.edu.au/itp,http://sydney.edu.au/cet/intensive-english-test-preparation.html,Ambigious source URL.
http://sydney.edu.au/oet,http://sydney.edu.au/cet/occupational-english-test-preparation.html,Ambigious source URL.
http://sydney.edu.au/cet/graduate-programs.shtml,http://sydney.edu.au/cet/graduate-programs.html,OK
http://sydney.edu.au/cet/gas.shtml,http://sydney.edu.au/cet/graduate-academic-skills.html,OK
http://sydney.edu.au/cet/gas,http://sydney.edu.au/cet/graduate-academic-skills.html,Ambigious source URL.
http://sydney.edu.au/cet/asas.shtml,http://sydney.edu.au/cet/advanced-skills-for-academic-success.html,OK
http://sydney.edu.au/cet/asas,http://sydney.edu.au/cet/advanced-skills-for-academic-success.html,Ambigious source URL.
http://sydney.edu.au/cet/privatetuition.shtml,http://sydney.edu.au/cet/coaching.html,OK
http://sydney.edu.au/cet/1-1coaching,http://sydney.edu.au/cet/coaching.html,Ambigious source URL.
http://sydney.edu.au/cet/teaching-english.shtml,http://sydney.edu.au/cet/teaching-english-internationally.html,OK
http://sydney.edu.au/cet/customised-programs.shtml,http://sydney.edu.au/cet/customised-programs/index.html,OK
http://sydney.edu.au/cet/specialised-group-programs.shtml,http://sydney.edu.au/cet/customised-programs/specialised-english-language-programs-for-groups.html,OK
http://sydney.edu.au/cet/specialised-group-programs,http://sydney.edu.au/cet/customised-programs/specialised-english-language-programs-for-groups.html,Ambigious source URL.
http://sydney.edu.au/cet/pqa.shtml,http://sydney.edu.au/cet/customised-programs/precision-questioning-and-answering.html,OK
http://sydney.edu.au/cet/corporate-training.shtml,http://sydney.edu.au/cet/customised-programs/corporate-training.html,OK
http://sydney.edu.au/cet/corporate-training,http://sydney.edu.au/cet/customised-programs/corporate-training.html,Ambigious source URL.
http://sydney.edu.au/cet/apply-online.shtml,http://sydney.edu.au/cet/apply.html,OK
http://sydney.edu.au/cet/how-to-apply,http://sydney.edu.au/cet/apply.html,Ambigious source URL.
http://sydney.edu.au/cet/packaging.shtml,http://sydney.edu.au/cet/packaging.html,OK
http://sydney.edu.au/cet/packaging,http://sydney.edu.au/cet/packaging.html,Ambigious source URL.
http://sydney.edu.au/cet/test-centre/index.shtml,http://sydney.edu.au/cet/test-centre/index.html,OK
http://sydney.edu.au/cet/ielts/index.shtml,http://sydney.edu.au/cet/test-centre/ielts-test-centre.html,OK
http://sydney.edu.au/cet/test-centre,http://sydney.edu.au/cet/test-centre/ielts-test-centre.html,Ambigious source URL.
http://sydney.edu.au/cet/ielts/apply.shtml,http://sydney.edu.au/cet/test-centre/book-ielts-test.html,OK
http://sydney.edu.au/cet/ielts/results.shtml,http://sydney.edu.au/cet/test-centre/book-ielts-test.html,OK
http://sydney.edu.au/cet/future-students/index.shtml,http://sydney.edu.au/cet/future-students/index.html,OK
http://sydney.edu.au/cet/future-students,http://sydney.edu.au/cet/future-students/index.html,Ambigious source URL.
http://sydney.edu.au/cet/current-students/index.shtml,http://sydney.edu.au/cet/current-students/index.html,OK
http://sydney.edu.au/cet/agents/index.shtml,http://sydney.edu.au/cet/agents/index.html,OK
http://sydney.edu.au/cet/agents/portal/portal,http://sydney.edu.au/cet/enrol/cet/pages/agents_entry.php,Ambigious source URL.
http://sydney.edu.au/cet/about/index.shtml,http://sydney.edu.au/cet/about-us.html,OK
http://sydney.edu.au/cet/contact_us/index.php,http://sydney.edu.au/cet/contact-us.html,OK
http://sydney.edu.au/cet/dec-online.shtml,http://sydney.edu.au/cet/dec-online.html,OK
http://sydney.edu.au/cet/university-heroes.shtml,http://sydney.edu.au/cet/university-heroes.html,OK
http://sydney.edu.au/cet/moocs.shtml,http://sydney.edu.au/cet/moocs.html,OK
http://sydney.edu.au/cet/elearning.shtml,http://sydney.edu.au/cet/online-learning-resources.html,OK
http://sydney.edu.au/cet/students/elearning/onlinelinks.shtml,http://sydney.edu.au/cet/online-learning-resources.html,OK
http://sydney.edu.au/cet/cet-schedule,http://sydney.edu.au/cet/docs/2016cetfeeschedulesweb.pdf,Ambigious source URL.
