Redirection type:single redirect
Old URLs,New URLs
http://sydney.edu.au/cet/ge16.shtml,http://sydney.edu.au/cet/ge16.html
http://sydney.edu.au/cet/university-pathways.shtml,http://sydney.edu.au/cet/university-english-pathways.html
http://sydney.edu.au/cet/professionalenglish.shtml,http://sydney.edu.au/cet/professional-pathways.html
http://sydney.edu.au/cet/business-english.shtml,http://sydney.edu.au/cet/business-english.html
http://sydney.edu.au/cet/general-english.shtml,http://sydney.edu.au/cet/general-english.html
http://sydney.edu.au/cet/ge.shtml,http://sydney.edu.au/cet/general-english.html
http://sydney.edu.au/cet/itp.shtml,http://sydney.edu.au/cet/intensive-english-test-preparation.html
http://sydney.edu.au/itp,http://sydney.edu.au/cet/intensive-english-test-preparation.html
http://sydney.edu.au/cet/cambridge-english.shtml,http://sydney.edu.au/cet/cambridge-english.html
http://sydney.edu.au/cet/oet.shtml,http://sydney.edu.au/cet/occupational-english-test-preparation.html
http://sydney.edu.au/oet,http://sydney.edu.au/cet/occupational-english-test-preparation.html
http://sydney.edu.au/cet/graduate-programs.shtml,http://sydney.edu.au/cet/graduate-programs.html
http://sydney.edu.au/cet/gas.shtml,http://sydney.edu.au/cet/graduate-academic-skills.html
http://sydney.edu.au/cet/gas,http://sydney.edu.au/cet/graduate-academic-skills.html
http://sydney.edu.au/cet/asas.shtml,http://sydney.edu.au/cet/advanced-skills-for-academic-success.html
http://sydney.edu.au/cet/asas,http://sydney.edu.au/cet/advanced-skills-for-academic-success.html
http://sydney.edu.au/cet/privatetuition.shtml,http://sydney.edu.au/cet/coaching.html
http://sydney.edu.au/cet/1-1coaching,http://sydney.edu.au/cet/coaching.html
http://sydney.edu.au/cet/teaching-english.shtml,http://sydney.edu.au/cet/teaching-english-internationally.html
http://sydney.edu.au/cet/customised-programs.shtml,http://sydney.edu.au/cet/customised-programs/index.html
http://sydney.edu.au/cet/specialised-group-programs.shtml,http://sydney.edu.au/cet/customised-programs/specialised-english-language-programs-for-groups.html
http://sydney.edu.au/cet/specialised-group-programs,http://sydney.edu.au/cet/customised-programs/specialised-english-language-programs-for-groups.html
http://sydney.edu.au/cet/pqa.shtml,http://sydney.edu.au/cet/customised-programs/precision-questioning-and-answering.html
http://sydney.edu.au/cet/corporate-training.shtml,http://sydney.edu.au/cet/customised-programs/corporate-training.html
http://sydney.edu.au/cet/corporate-training,http://sydney.edu.au/cet/customised-programs/corporate-training.html
http://sydney.edu.au/cet/apply-online.shtml,http://sydney.edu.au/cet/apply.html
http://sydney.edu.au/cet/how-to-apply,http://sydney.edu.au/cet/apply.html
http://sydney.edu.au/cet/terms.shtml,http://sydney.edu.au/cet/terms.html
http://sydney.edu.au/cet/packaging.shtml,http://sydney.edu.au/cet/packaging.html
http://sydney.edu.au/cet/packaging,http://sydney.edu.au/cet/packaging.html
http://sydney.edu.au/cet/test-centre/index.shtml,http://sydney.edu.au/cet/test-centre/index.html
http://sydney.edu.au/cet/ielts/index.shtml,http://sydney.edu.au/cet/test-centre/ielts-test-centre.html
http://sydney.edu.au/cet/test-centre,http://sydney.edu.au/cet/test-centre/ielts-test-centre.html
http://sydney.edu.au/cet/ielts/apply.shtml,http://sydney.edu.au/cet/test-centre/book-ielts-test.html
http://sydney.edu.au/cet/ielts/results.shtml,http://sydney.edu.au/cet/test-centre/book-ielts-test.html
http://sydney.edu.au/cet/future-students/index.shtml,http://sydney.edu.au/cet/future-students/index.html
http://sydney.edu.au/cet/future-students,http://sydney.edu.au/cet/future-students/index.html
http://sydney.edu.au/cet/current-students/index.shtml,http://sydney.edu.au/cet/current-students/index.html
http://sydney.edu.au/cet/agents/index.shtml,http://sydney.edu.au/cet/agents/index.html
http://sydney.edu.au/cet/agents/portal/portal,http://sydney.edu.au/cet/enrol/cet/pages/agents_entry.php
http://sydney.edu.au/cet/about/index.shtml,http://sydney.edu.au/cet/about-us.html
http://sydney.edu.au/cet/contact_us/index.php,http://sydney.edu.au/cet/contact-us.html
http://sydney.edu.au/cet/dec-online.shtml,http://sydney.edu.au/cet/dec-online.html
http://sydney.edu.au/cet/university-heroes.shtml,http://sydney.edu.au/cet/university-heroes.html
http://sydney.edu.au/cet/moocs.shtml,http://sydney.edu.au/cet/moocs.html
http://sydney.edu.au/cet/elearning.shtml,http://sydney.edu.au/cet/online-learning-resources.html
http://sydney.edu.au/cet/students/elearning/onlinelinks.shtml,http://sydney.edu.au/cet/online-learning-resources.html
http://sydney.edu.au/cet/cet-schedule,http://sydney.edu.au/cet/docs/2016cetfeeschedulesweb.pdf
